termo,definicion
"Varignon, teorema de",Relación matemática establecida por Varignon que di que o momento respecto a un punto do vector resultante dun conxunto de vectores concorrentes é igual á suma dos momentos particulares que cada vector posúe respecto ao mesmo punto:.
variña vibrante,"Corpo ríxido de lonxitude significativamente maior que as outras dúas dimensións e que, dada a súa rixidez, pode apoiarse nun único extremo ou en máis. O estudio das variñas vibrantes ten importancia en acústica, dado que poden actuar como corpos sonoros cando son perturbadas. Prodúcese unha vibración lonxitudinal cando a perturbación é por fregamento, suxeitando a variña e fregándoa cunha pel ou pano de algodón mollado en alcohol (V. Kundt, tubo de). Cando a perturbación é por percusión obtense unha vibración transversal. Ademais do tipo de vibración, distínguese entre variñas simétricas ou asimétricas, segundo os seus puntos de apoio. As frecuencias do son obtido é diferente en cada caso, tanto no son fundamental como nos harmónicos, requirindo un estudio detallado; en calquera caso, en cada punto de apoio localízase un nodo e, en cada extremo libre, un ventre."
vasos comunicantes,Conxunto de recipientes conectados polo seu fondo. Cando se verte un líquido nun deles repártese de tal xeito que acada a mesma altura en todos eles. V. presión hidrostática.
vatímetro,"Dispositivo que permite medir a potencia eléctrica. Un modelo popular chamado vatímetro electrodinámico consta de dúas bobinas, unha fixa e outra móbil cunha agulla adosada. A desviación desta última como consecuencia da forza entre as bobinas é proporcional á potencia disipada."
vatio,Watt.
vea líquida,Representación gráfica dun fluído en movemento que lle dá a forma da conducción pola que circula pero obviando as paredes da mesma. Se a sección da conducción é circular a vea líquida ten forma cilíndrica.
vector,"Segmento orientado, de especial aplicación en física para representar as magnitudes vectoriais. Caracterízase polo seu módulo, punto de aplicación, dirección e sentido. Analiticamente sóense representar, en coordenadas cartesianas, mediante os valores (x, y, z), que indican o punto no que se atopa o extremo dun vector equipolente e co punto de aplicación na orixe de coordenadas, recibindo tales coordenadas o nome de compoñentes."
vector,"Dende outra perspectiva, un vector é un elemento dun espacio vectorial. Exprésase como a combinación de tres vectores unitarios segundosendo x, y e z as compoñentes do vector; mentres queson os vectores unitarios definidos nas respectivas direccións dos eixes X, Y e Z, e forman unha base do devandito espacio, pódense visualizar como vectores co punto de aplicación na orixe de coordenadas e extremo nos puntos respectivos: (1,0,0), (0,1,0) e (0,0,1). V. cosenos directores."
vector axial,"Vector que carece de sentido propio. Este ten que ser fixado por convenio. Xeralmente soe seguirse a regra do parafuso para establecer o sentido positivo ou negativo do vector, como p.e. no momento angular. Tamén se coñece como pseudovector e ten a propiedade de que non invirte o seu signo cando se cambia o sistema de coordenadas por outro simétrico mediante unha reflexión na orixe, é dicir, cando as novas coordenadas xi' resultan das antigas segundo. V. vector polar."
vector de posición,V. posición.
vector esvarante,"Vector que pode desprazarse ao longo da liña marcada pola súa dirección, sen que cambie o seu módulo e sentido. Por exemplo, a forza constitúe unha magnitude vectorial que se pode representar mediante un vector deste tipo."
vector libre,Vector que pode desprazarse paralelamente a si mesmo a un punto de aplicación calquera. Polo tanto o valor da magnitude que representa é independente do lugar do espacio onde se define.
vector polar,"Todo vector que non é un vector axial, é dicir, que cambia de signo ao cambiar o sistema de coordenadas por outro simétrico mediante reflexión na orixe."
vector rotación,"Vector axial que representa o xiro dun corpo arredor dun determinado eixe, respecto ao cal é paralelo."
vector unitario,Versor.
vectores concorrentes,Aqueles que teñen o mesmo punto de aplicación.
vectores equipolentes,Aqueles iguais en módulo e sentido e con direccións fixas e paralelas.
vectores ortogonais,Dise de vectores que presentan direccións perpendiculares.
velocidade,"Sb. Magnitude cinemática que expresa a rapidez no cambio de posición que experimenta un corpo co tempo. No SI mídese en ms-1. Matematicamente exprésase como o límite ao que tende a velocidade media cando o intervalo de desprazamento se fai infinitamente pequeno, é dicir nun instante, polo que a velocidade definida deste xeito tamén se coñece como velocidade instantánea; ou o que é o mesmo, a velocidade é a derivada temporal do vector de posición dun móbil: A velocidade, polo tanto, é unha magnitude vectorial que ten sempre por dirección a da tanxente á traxectoria en calquera punto e por sentido o do movemento. O seu módulo coñécese como rapidez ou celeridade. No estudio do MRU e do MRUV, unidimensionais, sóese traballar cun único eixe de coordenadas e, na notación empregada, omítese o carácter vectorial da velocidade, coincidindo a única compoñente da mesma co seu módulo acompañado do signo que indica o sentido correspondente. V. aceleración."
velocidade,"En xeral, medida de como varía unha magnitude física co tempo."
velocidade absoluta,"Velocidade definida respecto a un sistema de referencia considerado fixo. Dada a relatividade de todo movemento, tal consideración de fixo é sempre arbitraria, pero útil a efectos prácticos."
velocidade angular instantánea,V. velocidade angular.
velocidade angular media,V. velocidade angular.
velocidade angular,"Sb. Vector axial que designa a rapidez coa que un móbil describe un ángulo cando describe un movemento circular. No SI mídese en rad·s-1. Analogamente ao movemento rectilíneo, distínguense velocidade angular media e velocidade angular instantánea dependendo de se se toma un determinado intervalo de tempo na súa medición ou só un instante, respectivamente. Matematicamente pódense definir os seus respectivos módulos como:onderepresenta o ángulo xirado."
velocidade areolar,"Área varrida polo vector de posición dun corpo no seu movemento arredor doutro nun determinado intervalo de tempo. O valor medio e o instantáneo veñen dados respectivamente por:O concepto ten especial importancia en astronomía pois, cando a forza que actúa sobre o corpo é exclusivamente unha forza central (como a forza gravitatoria), de acordo coa segunda lei de Kepler, a velocidade areolar permanece constante, feito que ocorre no movemento de translación duns astros arredor doutros, como planetas, satélites, etc."
velocidade característica de lanzamento,"En astronáutica, velocidade inicial mínima que debe adquirir un satélite durante o lanzamento, unha vez que o foguete consumiu todo o seu combustible, para que acade a súa velocidade de inserción. V. velocidade orbital."
velocidade circular,V. problema dos dous corpos.
velocidade cósmica,"En astronáutica, nome, hoxe en desuso, que recibiron certos valores característicos da velocidade de inserción que se lle debe comunicar a un corpo para que acade un determinado obxectivo. Eran tres: a primeira velocidade cósmica é a hoxe coñecida como velocidade orbital (ou velocidade circular); a segunda velocidade cósmica é a actual velocidade de escape (ou velocidade parabólica); e a terceira velocidade cósmica é a mínima velocidade necesaria que se lle debe comunicar a un corpo para que, lanzado dende a superficie terrestre, poda vencer a atracción do Sol e abandonar o Sistema Solar."
velocidade crítica,"Velocidade á que un fluído cambia o seu tipo de fluxo. Principalmente enténdese como tal aquela que marca o paso de fluxo laminar a réxime de transición, e deste a fluxo turbulento. V. Reynolds, número de."
velocidade da luz,"Sb. c. Velocidade de propagación das ondas electromagnéticas que, no baleiro, resulta ser igual para todas elas, aceptándose actualmente o valor de 2,997 924 58·108 ms-1. Este valor, que forma parte da actual definición de metro, é aceptado como un valor constante, independente do observador e un límite máximo natural para a velocidade de calquera móbil, tal como postulou Einstein na relatividade restrinxida. Segundo a teoría electromagnética de Maxwell, a velocidade da luz no baleiro vén dada pola expresiónsendoeos valores respectivos da permitividade eléctrica e da permeabilidade magnética do baleiro. A súa medida experimental foise aproximando cada vez máis ao valor teórico, segundo ía avanzando a tecnoloxía dispoñible para mellorar a precisión da mesma; entre as moitas realizadas ao longo da historia destacan: a primeira medición, obtida por Roemer no 1676, a realizada por Fizeau no 1849, e as realizadas co interferómetro de Michelson. Como no caso de calquera onda, a velocidade de propagación da luz relaciona a frecuencia e a lonxitude de onda correspondente a unha determinada radiación electromagnética, segundoPero, a diferencia do que ocorre noutras ondas, esta velocidade non só depende do medio polo que se propaga a onda, senón que tamén depende, en moitos medios, da lonxitude de onda da mesma, polo que o índice de refracción dun medio varía coa lonxitude de onda; esta é a razón da dispersión da luz producida ao atravesar, p.e., un prisma óptico."
velocidade de arranque,"Nunha máquina eólica, velocidade mínima do vento necesaria para facela xirar."
velocidade de conexión,"Nunha  máquina eólica, velocidade mínima do vento a partir da cal a máquina pode xerar potencia, mecánica ou eléctrica, segundo se trate dun aeromotor ou dun aeroxerador."
velocidade de difusión,"V. Fick, lei de."
velocidade de escape,"Velocidade mínima que se lle debe comunicar a un corpo para que consiga escapar do campo gravitatorio dun astro (ou de calquera outro corpo), isto é, desprezando calquera rozamento, a velocidade necesaria para que a enerxía cinética do corpo, como mínimo, iguale á enerxía potencial gravitatoria do mesmo, debido a súa presencia no campo gravitatorio do astro, conseguindo que acade unha posición suficientemente afastada do astro, o infinito. É a velocidade parabólica, referida no problema dos dous corpos, e a segunda velocidade cósmica, referida á Terra. Normalmente a velocidade de escape dun astro refírese á un punto da súa superficie e vén dada polas expresiónssendo M a masa do astro, R o radio do mesmo, G a constante de gravitación universal e g0 a aceleración da gravidade na superficie do astro. Os valores respectivos para a superficie da Terra, da Lúa e do Sol son 11,2 km/s, 2,4 km/s e 630 km/s. A velocidade de escape dun burato negro sobre o seu horizonte de sucesos coincide coa velocidade da luz no baleiro, razón pola que ningún corpo (nin os fotóns con masa en repouso nula) poden escapar dese astro. Para unha altura h, por riba da superficie dun astro, a velocidade de escape é menor e vén dada polas expresións.V. velocidade orbital."
